a1,a2,a3,a4,a1_coefficients,a2_coefficients,a3_coefficient,a4_coefficients,b1,b2,b3,b1_coefficients,b2_coefficients,b3_coefficients,c1,c2,c3,c1_coefficients,c2_coefficients,c3_coefficients,ETL_stack_sequence1,ETL_stack_sequence2,ETL_stack_sequence3,ETL_thickness1,ETL_thickness2,ETL_thickness3,HTL_additives_compounds1,HTL_additives_compounds2,HTL_additives_compounds3,HTL_additives_compounds4,Perovskite_deposition_solvents1,Perovskite_deposition_solvents2,Perovskite_deposition_solvents3,HTL_stack_sequence1,HTL_stack_sequence2,Perovskite_deposition_thermal_annealing_temperature1,Perovskite_deposition_thermal_annealing_temperature2,Perovskite_deposition_thermal_annealing_temperature3,Perovskite_deposition_thermal_annealing_temperature4,Perovskite_deposition_thermal_annealing_temperature5,Perovskite_deposition_thermal_annealing_temperature6,Perovskite_deposition_thermal_annealing_temperature7,Perovskite_deposition_thermal_annealing_temperature8,Perovskite_deposition_thermal_annealing_time1,Perovskite_deposition_thermal_annealing_time2,Perovskite_deposition_thermal_annealing_time3,Perovskite_deposition_thermal_annealing_time4,Perovskite_deposition_thermal_annealing_time5,Perovskite_deposition_thermal_annealing_time6,Perovskite_deposition_thermal_annealing_time7,Perovskite_deposition_thermal_annealing_time8,JV_default_PCE,JV_default_PCE
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,910.9,332.4,0,0,0,0,299,0,0,0,18,0,0,157.15,0,100,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,13.42,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,910.9,332.4,0,0,0,0,299,0,0,0,18,0,0,157.15,0,100,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,14.63,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,910.9,332.4,0,0,0,0,299,0,0,0,18,0,0,157.15,0,100,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,11.32,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,144.48,0,0,50,0,0,253.8,488,0,0,18,78,0,1787.74,0,40,60,70,100,0,0,0,0,5,5,5,5,0,0,0,0,15,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,144.48,0,0,15,0,0,253.8,488,0,0,18,78,0,1787.74,0,40,60,70,100,0,0,0,0,5,5,5,5,0,0,0,0,16,0
253,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,100,0,253.8,266,0,0,18,0,0,1787.74,0,170,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10.94,0
253,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,100,0,253.8,266,0,0,18,0,0,1787.74,0,170,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,16.4,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,196,253.8,0,0.15,2.85,0,47.86,47.86,0,30,200,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,196,253.8,0,0.15,2.85,0,47.86,47.86,0,30,200,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,196,253.8,0,0.15,2.85,0,47.86,47.86,0,30,200,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1.5,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,196,253.8,0,0.15,2.85,0,47.86,47.86,0,30,200,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7.3,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,65,0,0,253.8,266,0,0,78,86.1,0,1787.74,0,100,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12.23,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,65,0,0,253.8,266,0,0,78,86.1,0,1787.74,0,100,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12.74,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,65,0,0,253.8,266,0,0,78,86.1,0,1787.74,0,100,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12.67,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,65,0,0,253.8,266,0,0,78,86.1,0,1787.74,0,100,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12.38,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,65,0,0,253.8,266,0,0,78,86.1,0,1787.74,0,100,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12.62,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,65,0,0,253.8,266,0,0,78,86.1,0,1787.74,0,100,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12.84,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,65,0,0,253.8,266,0,0,78,86.1,0,1787.74,0,100,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12.56,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,65,0,0,253.8,266,0,0,78,86.1,0,1787.74,0,100,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,11.78,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,65,0,0,253.8,266,0,0,78,86.1,0,1787.74,0,100,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12.58,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,65,0,0,253.8,266,0,0,78,86.1,0,1787.74,0,100,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12.51,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,65,0,0,253.8,266,0,0,78,86.1,0,1787.74,0,100,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12.78,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,65,0,0,253.8,266,0,0,78,86.1,0,1787.74,0,100,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12.76,0
253,31.1,0,0,0.85,0.15,0,0,119,0,0,1,0,0,196,253.8,0,0.45,2.55,0,910.9,360.45,0,0,10,0,1043,0,0,0,18,78,0,70000,0,150,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12.68,0
253,31.1,0,0,0.85,0.15,0,0,119,0,0,1,0,0,196,253.8,0,0.45,2.55,0,910.9,360.45,0,0,10,0,1043,0,0,0,18,78,0,70000,0,150,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10.39,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,196,253.8,0,0.5,2.5,0,910.9,720.64,360.45,0,20,8,18,0,0,0,253.8,0,0,157.15,0,100,75,100,0,0,0,0,0,5,15,75,0,0,0,0,0,16.6,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,196,253.8,0,0.8,2.2,0,910.9,720.64,360.45,0,20,8,18,0,0,0,253.8,0,0,157.15,0,100,75,100,0,0,0,0,0,5,15,75,0,0,0,0,0,14.9,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,650,0,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,8.23,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,650,0,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,9.12,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,650,0,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,9.57,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,650,0,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,10.09,0
253,31.1,0,0,0.38,0.57,0,0,119,0,0,1,0,0,220,0,0,3,0,0,81.4,0,0,45,0,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,13.65,0
253,31.1,0,0,0.38,0.57,0,0,119,0,0,1,0,0,220,0,0,3,0,0,81.4,0,0,45,0,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,15.76,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,50,0,0,253.8,266,0,0,18,78,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,15.09,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,200,0,39.1,253.8,266,0,78,0,0,408.83,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4.8,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,200,0,39.1,253.8,266,0,78,0,0,408.83,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9.9,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,200,0,39.1,253.8,266,0,78,0,0,408.83,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,13.2,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,200,0,39.1,253.8,266,0,78,0,0,408.83,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,15.7,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,200,0,39.1,253.8,266,0,78,0,0,408.83,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14.8,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,200,0,39.1,253.8,266,0,78,0,0,408.83,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,15.8,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,200,0,39.1,253.8,266,0,78,0,0,408.83,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4.3,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,200,0,39.1,253.8,266,0,78,0,0,408.83,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9.7,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,200,0,39.1,253.8,266,0,78,0,0,408.83,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8.5,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,200,0,39.1,253.8,266,0,78,0,0,408.83,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7.9,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,200,0,39.1,253.8,266,0,78,0,0,408.83,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,16.5,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,50,0,0,253.8,266,0,0,18,78,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6.75,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,50,430,0,253.8,266,0,0,18,78,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10.22,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,50,350,0,253.8,266,0,0,18,78,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14.13,0
253,31.1,0,0,0.85,0.15,0,0,119,0,0,1,0,0,196,253.8,0,0.45,2.55,0,47.86,47.86,0,50,0,0,253.8,266,0,0,18,78,0,1787.74,0,60,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,17.86,0
253,31.1,0,0,0.85,0.15,0,0,119,0,0,1,0,0,196,253.8,0,0.45,2.55,0,47.86,47.86,0,50,0,0,253.8,266,0,0,18,78,0,1787.74,0,60,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,17.28,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,70,0,0,39.1,253.8,266,0,18,78,0,1787.74,0,100,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,15.33,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,0,0,50,0,0,39.1,253.8,266,0,18,78,0,1787.74,0,100,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,15.36,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,70,50,0,39.1,253.8,266,0,18,78,0,1787.74,0,100,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,17.05,0
217,0,0,0,3,0,0,0,208.98,0,0,2,0,0,220,0,0,9,0,0,47.86,47.86,0,15,0,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0.11,0
217,0,0,0,3,0,0,0,208.98,0,0,2,0,0,220,0,0,9,0,0,47.86,47.86,0,15,0,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0.16,0
217,0,0,0,3,0,0,0,208.98,0,0,2,0,0,220,0,0,9,0,0,47.86,47.86,0,15,0,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0.13,0
217,0,0,0,3,0,0,0,208.98,0,0,2,0,0,220,0,0,9,0,0,47.86,47.86,0,15,0,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0.09,0
217,0,0,0,3,0,0,0,208.98,0,0,2,0,0,220,0,0,9,0,0,47.86,47.86,0,15,0,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0.08,0
217,0,0,0,3,0,0,0,208.98,0,0,2,0,0,220,0,0,9,0,0,47.86,47.86,0,15,0,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0.16,0
217,0,0,0,3,0,0,0,208.98,0,0,2,0,0,220,0,0,9,0,0,47.86,47.86,0,15,0,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0.09,0
217,0,0,0,3,0,0,0,208.98,0,0,2,0,0,220,0,0,9,0,0,47.86,47.86,0,15,0,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0.08,0
167,494.5,31.1,0,0.05,0.85,0.5,0,119,0,0,1,0,0,196,253.8,0,0.25,2.75,0,47.86,47.86,0,30,0,0,253.8,266,0,0,18,78,0,1787.74,0,120,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,21.2,1
167,494.5,31.1,0,0.05,0.85,0.5,0,119,0,0,1,0,0,196,253.8,0,0.25,2.75,0,47.86,47.86,0,30,0,0,253.8,266,0,0,18,78,0,56.06,0,120,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,22,1
241.24,31.1,0,0,0.5,3,0,0,119,0,0,3,0,0,220,0,0,10,0,0,47.86,0,0,40,0,0,253.8,266,0,0,18,78,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14.86,0
128.162,31.1,0,0,2,3,0,0,119,0,0,4,0,0,220,0,0,13,0,0,47.86,0,0,40,0,0,253.8,266,0,0,18,78,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11.52,0
241.24,132.9,494.5,31.1,0.5,0.15,2.36,0.48,119,0,0,3,0,0,196,253.8,0,1.7,0.83,0,47.86,0,0,40,0,0,253.8,266,0,0,18,78,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,17.39,0
128.162,132.9,494.5,31.1,2,0.1,2.36,0.48,119,0,0,3,0,0,196,253.8,0,1.7,0.83,0,47.86,0,0,40,0,0,253.8,266,0,0,18,78,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,13.96,0
241.24,132.9,494.5,31.1,0.5,0.15,2.36,0.48,119,0,0,3,0,0,196,253.8,0,1.7,0.83,0,47.86,0,0,40,0,0,253.8,266,0,0,18,78,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,17.39,0
128.162,132.9,494.5,31.1,2,0.1,2.36,0.48,119,0,0,3,0,0,196,253.8,0,1.7,0.83,0,47.86,0,0,40,0,0,253.8,266,0,0,18,78,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,13.96,0
241.24,132.9,494.5,31.1,0.5,0.15,2.36,0.48,119,0,0,3,0,0,196,253.8,0,1.7,0.83,0,47.86,0,0,40,0,0,253.8,266,0,0,18,78,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,17.39,0
128.162,132.9,494.5,31.1,2,0.1,2.36,0.48,119,0,0,3,0,0,196,253.8,0,1.7,0.83,0,47.86,0,0,40,0,0,253.8,266,0,0,18,78,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,13.96,0
241.24,132.9,494.5,31.1,0.5,0.15,2.36,0.48,119,0,0,3,0,0,196,253.8,0,1.7,0.83,0,47.86,0,0,40,0,0,253.8,266,0,0,18,78,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,17.39,0
128.162,132.9,494.5,31.1,2,0.1,2.36,0.48,119,0,0,3,0,0,196,253.8,0,1.7,0.83,0,47.86,0,0,40,0,0,253.8,266,0,0,18,78,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,13.96,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,150,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,17.2,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,150,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,19.7,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,150,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,16.3,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,150,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,17.9,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,150,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,19.1,0
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,47.86,47.86,0,0,150,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,17.6,0
167,494.5,31.1,0,0.05,0.81,0.14,0,119,0,0,1,0,0,196,253.8,0,0.45,2.55,0,47.86,47.86,0,0,150,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,19.1,0
167,494.5,31.1,0,0.05,0.81,0.14,0,119,0,0,1,0,0,196,253.8,0,0.45,2.55,0,47.86,47.86,0,0,150,0,253.8,266,0,0,18,0,0,1787.74,0,100,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,21,1
217,0,0,0,1,0,0,0,119,0,0,1,0,0,220,0,0,3,0,0,118.71,0,0,20,0,0,253.8,266,0,0,18,78,0,1787.74,0,65,135,0,0,0,0,0,0,1,3,0,0,0,0,0,0,18.35,0
253,31.1,0,0,0.024,0.976,0,0,119,0,0,1,0,0,196,253.8,0,1,2.955,0,118.71,0,0,20,0,0,253.8,266,0,0,18,78,0,1787.74,0,65,135,0,0,0,0,0,0,1,3,0,0,0,0,0,0,19.76,0
253,31.1,0,0,0.048,0.952,0,0,119,0,0,1,0,0,196,253.8,0,1,2.91,0,118.71,0,0,20,0,0,253.8,266,0,0,18,78,0,1787.74,0,65,135,0,0,0,0,0,0,1,3,0,0,0,0,0,0,20.93,1
253,31.1,0,0,0.048,0.952,0,0,119,0,0,1,0,0,196,253.8,0,1,2.91,0,118.71,0,0,20,0,0,253.8,266,0,0,18,78,0,1787.74,0,65,135,0,0,0,0,0,0,1,3,0,0,0,0,0,0,19.51,0
253,31.1,0,0,0.048,0.952,0,0,119,0,0,1,0,0,196,253.8,0,1,2.91,0,118.71,0,0,20,0,0,253.8,266,0,0,18,78,0,1787.74,0,65,135,0,0,0,0,0,0,1,3,0,0,0,0,0,0,17.9,0
