,a1,a2,a1_coefficients,a2_coefficients,a3_coefficient,c1_coefficients,c2_coefficients,ETL_stack_sequence1,ETL_stack_sequence2,ETL_stack_sequence3,ETL_thickness1,ETL_thickness2,HTL_additives_compounds1,HTL_additives_compounds2,HTL_additives_compounds3,Perovskite_deposition_solvents1,Perovskite_deposition_solvents2,Perovskite_deposition_solvents3,HTL_stack_sequence1,Perovskite_deposition_thermal_annealing_temperature1,Perovskite_deposition_thermal_annealing_temperature2,Perovskite_deposition_thermal_annealing_time1,Perovskite_deposition_thermal_annealing_time2,JV_default_PCE
31,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,65.0,0.0,253.8,266.0,0.0,78.0,86.1,0.0,1787.74,100,0,15.0,0.0,0
32,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,65.0,0.0,253.8,266.0,0.0,78.0,86.1,0.0,1787.74,100,0,15.0,0.0,0
33,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,65.0,0.0,253.8,266.0,0.0,78.0,86.1,0.0,1787.74,100,0,15.0,0.0,0
34,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,65.0,0.0,253.8,266.0,0.0,78.0,86.1,0.0,1787.74,100,0,15.0,0.0,0
35,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,65.0,0.0,253.8,266.0,0.0,78.0,86.1,0.0,1787.74,100,0,15.0,0.0,0
36,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,65.0,0.0,253.8,266.0,0.0,78.0,86.1,0.0,1787.74,100,0,15.0,0.0,0
37,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,65.0,0.0,253.8,266.0,0.0,78.0,86.1,0.0,1787.74,100,0,15.0,0.0,0
38,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,65.0,0.0,253.8,266.0,0.0,78.0,86.1,0.0,1787.74,100,0,15.0,0.0,0
39,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,65.0,0.0,253.8,266.0,0.0,78.0,86.1,0.0,1787.74,100,0,15.0,0.0,0
40,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,65.0,0.0,253.8,266.0,0.0,78.0,86.1,0.0,1787.74,100,0,15.0,0.0,0
41,253.0,31.1,0.85,0.15,0.0,0.45,2.55,910.9,360.45,0.0,0.0,10.0,1043.0,0.0,0.0,18.0,78.0,0.0,70000.0,150,0,6.0,0.0,0
42,253.0,31.1,0.85,0.15,0.0,0.45,2.55,910.9,360.45,0.0,0.0,10.0,1043.0,0.0,0.0,18.0,78.0,0.0,70000.0,150,0,6.0,0.0,0
43,217.0,0.0,1.0,0.0,0.0,0.5,2.5,910.9,720.64,360.45,0.0,20.0,18.0,0.0,0.0,253.8,0.0,0.0,157.15,100,75,5.0,15.0,0
44,217.0,0.0,1.0,0.0,0.0,0.8,2.2,910.9,720.64,360.45,0.0,20.0,18.0,0.0,0.0,253.8,0.0,0.0,157.15,100,75,5.0,15.0,0
45,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,650.0,0.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,45.0,0.0,0
46,217.0,0.0,1.0,0.0,0.0,3.0,0.0,47.86,0.0,0.0,650.0,0.0,253.8,266.0,0.0,18.0,0.0,0.0,1787.74,100,0,45.0,0.0,0
