Ratio,A BertzCT,A Chi0,A Chi0n,A Chi0v,A EState_VSA2,A ExactMolWt,A FpDensityMorgan1,A FpDensityMorgan2,A FpDensityMorgan3,A HallKierAlpha,A HeavyAtomCount,A HeavyAtomMolWt,A Kappa1,A Kappa2,A Kappa3,A LabuteASA,A MaxAbsPartialCharge,A MaxPartialCharge,A MinAbsPartialCharge,A MinPartialCharge,A MolLogP,A MolMR,A MolWt,A NHOHCount,A NOCount,A NumHDonors,A NumHeteroatoms,A NumRadicalElectrons,A NumValenceElectrons,A PEOE_VSA1,A PEOE_VSA14,A SMR_VSA1,A SMR_VSA10,A SMR_VSA2,A SMR_VSA3,A SlogP_VSA1,A SlogP_VSA2,A TPSA,A fr_halogen,A fr_quatN,A qed,M BalabanJ,M BertzCT,M Chi0,M Chi0n,M Chi0v,M Chi1,M Chi1n,M Chi1v,M Chi2n,M Chi2v,M Chi3n,M Chi3v,M Chi4n,M Chi4v,M EState_VSA1,M EState_VSA10,M EState_VSA11,M EState_VSA2,M EState_VSA3,M EState_VSA4,M EState_VSA5,M EState_VSA6,M EState_VSA7,M EState_VSA8,M EState_VSA9,M ExactMolWt,M FpDensityMorgan1,M FpDensityMorgan2,M FpDensityMorgan3,M FractionCSP3,M HallKierAlpha,M HeavyAtomCount,M HeavyAtomMolWt,M Ipc,M Kappa1,M Kappa2,M Kappa3,M LabuteASA,M MaxAbsEStateIndex,M MaxAbsPartialCharge,M MaxEStateIndex,M  MaxPartialCharge,M MinAbsEStateIndex,M MinAbsPartialCharge,M MinEStateIndex,M MinPartialCharge,M MolLogP,M MolMR,M MolWt,M NHOHCount,M NOCount,M NumAliphaticCarbocycles,M NumAliphaticHeterocycles,M NumAliphaticRings,M NumAromaticCarbocycles,M NumAromaticRings,M NumHAcceptors,M NumHDonors,M NumHeteroatoms,M NumRotatableBonds,M NumValenceElectrons,M PEOE_VSA1,M PEOE_VSA10,M PEOE_VSA11,M PEOE_VSA12,M PEOE_VSA14,M PEOE_VSA2,M PEOE_VSA3,M PEOE_VSA4,M PEOE_VSA5,M PEOE_VSA6,M PEOE_VSA7,M PEOE_VSA8,M PEOE_VSA9,M RingCount,M SMR_VSA1,M SMR_VSA10,M SMR_VSA3,M SMR_VSA4,M SMR_VSA5,M SMR_VSA6,M SMR_VSA7,M SMR_VSA8,M SMR_VSA9,M SlogP_VSA1,M SlogP_VSA10,M SlogP_VSA11,M SlogP_VSA12,M SlogP_VSA2,M SlogP_VSA3,M SlogP_VSA4,M SlogP_VSA5,M SlogP_VSA6,M SlogP_VSA7,M SlogP_VSA8,M TPSA,M VSA_EState1,M VSA_EState2,M VSA_EState3,M VSA_EState4,M VSA_EState5,M VSA_EState6,M VSA_EState7,M VSA_EState8,M fr_Al_COO,M fr_Ar_OH,M fr_COO,M fr_COO2,M fr_C_O,M fr_C_O_noCOO,M fr_NH0,M fr_NH1,M fr_NH2,M fr_amide,M fr_aniline,M fr_aryl_methyl,M fr_azo,M fr_benzene,M fr_bicyclic,M fr_ester,M fr_ether,M fr_halogen,M fr_ketone,M fr_phenol,M fr_phenol_noOrthoHbond,M qed,Time(s),Residue Index
1,2,0,1.377964473,2.133893419,31.26763637,41.98485723,1,1,1,0.887402597,2,42.394,13.06155996,1.887402597,0.014286836,31.81913654,1,1,1,-1,-5.992,0,42.394,0,0,0,2,0,8,12.40703316,18.86060321,31.26763637,0,0,0,31.26763637,0,0,1,0,0.236824831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1.035250918
1,2,0,1.377964473,2.133893419,31.26763637,41.98485723,1,1,1,0.887402597,2,42.394,13.06155996,1.887402597,0.014286836,31.81913654,1,1,1,-1,-5.992,0,42.394,0,0,0,2,0,8,12.40703316,18.86060321,31.26763637,0,0,0,31.26763637,0,0,1,0,0.236824831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0.963892289
1,2,0,1.377964473,2.133893419,18.55757951,53.00322681,1,1,1,0.25,2,49.46,56.25,1.25,2.25,19.65732138,1,-0.368859027,0.368859027,-1,-2.6198,5.9848,53.492,4,1,1,2,0,16,18.55757951,0,12.40703316,0,0,6.15054635,18.55757951,0,36.5,1,1,0.313885693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1.447170176
1,2,0,1.377964473,2.133893419,18.55757951,53.00322681,1,1,1,0.25,2,49.46,56.25,1.25,2.25,19.65732138,1,-0.368859027,0.368859027,-1,-2.6198,5.9848,53.492,4,1,1,2,0,16,18.55757951,0,12.40703316,0,0,6.15054635,18.55757951,0,36.5,1,1,0.313885693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1.879853197
1,2,0,1.377964473,2.133893419,18.55757951,53.00322681,1,1,1,0.25,2,49.46,56.25,1.25,2.25,19.65732138,1,-0.368859027,0.368859027,-1,-2.6198,5.9848,53.492,4,1,1,2,0,16,18.55757951,0,12.40703316,0,0,6.15054635,18.55757951,0,36.5,1,1,0.313885693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,2.727448329
1,2,0,1.377964473,2.133893419,18.55757951,53.00322681,1,1,1,0.25,2,49.46,56.25,1.25,2.25,19.65732138,1,-0.368859027,0.368859027,-1,-2.6198,5.9848,53.492,4,1,1,2,0,16,18.55757951,0,12.40703316,0,0,6.15054635,18.55757951,0,36.5,1,1,0.313885693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,3.830403709
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.611355258,1244.819933,20.2169677,16.24162148,16.24162148,14.11419354,9.321452001,9.321452001,6.811707186,6.811707186,4.706062137,4.706062137,3.053849182,3.053849182,0,5.106527395,0,5.749511833,11.37477255,33.27412396,0,6.066367068,86.64387922,20.4570005,0,380.1637113,0.620689655,1.344827586,2.172413793,0.083333333,-3.86,29,360.291,5055636.174,18.5008473,8.022491002,4.036974405,168.6449297,10.21941505,0.505593144,10.21941505,0.143255173,0.105327906,0.143255173,0.105327906,-0.505593144,7.99304,116.3228,380.451,1,5,0,0,0,4,4,5,1,5,4,142,5.106527395,11.43689811,0,0,0,0,0,15.34275038,5.114250126,48.53093655,60.69243694,5.386224214,17.06215882,4,5.106527395,33.52199353,0,20.4570005,13.8474744,0,89.98967487,0,5.749511833,0,22.7495451,5.749511833,0,5.106527395,0,13.8474744,11.12690298,99.31977239,0,10.77244843,69.67,0,0,29.40432164,4.776897593,0.105327906,24.75920202,0,3.954250847,0,1,0,0,0,0,4,0,0,0,0,2,2,4,1,0,0,0,0,1,1,0.357988255,70,1.071505376
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.611355258,1244.819933,20.2169677,16.24162148,16.24162148,14.11419354,9.321452001,9.321452001,6.811707186,6.811707186,4.706062137,4.706062137,3.053849182,3.053849182,0,5.106527395,0,5.749511833,11.37477255,33.27412396,0,6.066367068,86.64387922,20.4570005,0,380.1637113,0.620689655,1.344827586,2.172413793,0.083333333,-3.86,29,360.291,5055636.174,18.5008473,8.022491002,4.036974405,168.6449297,10.21941505,0.505593144,10.21941505,0.143255173,0.105327906,0.143255173,0.105327906,-0.505593144,7.99304,116.3228,380.451,1,5,0,0,0,4,4,5,1,5,4,142,5.106527395,11.43689811,0,0,0,0,0,15.34275038,5.114250126,48.53093655,60.69243694,5.386224214,17.06215882,4,5.106527395,33.52199353,0,20.4570005,13.8474744,0,89.98967487,0,5.749511833,0,22.7495451,5.749511833,0,5.106527395,0,13.8474744,11.12690298,99.31977239,0,10.77244843,69.67,0,0,29.40432164,4.776897593,0.105327906,24.75920202,0,3.954250847,0,1,0,0,0,0,4,0,0,0,0,2,2,4,1,0,0,0,0,1,1,0.357988255,110,1.07311828
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.611355258,1244.819933,20.2169677,16.24162148,16.24162148,14.11419354,9.321452001,9.321452001,6.811707186,6.811707186,4.706062137,4.706062137,3.053849182,3.053849182,0,5.106527395,0,5.749511833,11.37477255,33.27412396,0,6.066367068,86.64387922,20.4570005,0,380.1637113,0.620689655,1.344827586,2.172413793,0.083333333,-3.86,29,360.291,5055636.174,18.5008473,8.022491002,4.036974405,168.6449297,10.21941505,0.505593144,10.21941505,0.143255173,0.105327906,0.143255173,0.105327906,-0.505593144,7.99304,116.3228,380.451,1,5,0,0,0,4,4,5,1,5,4,142,5.106527395,11.43689811,0,0,0,0,0,15.34275038,5.114250126,48.53093655,60.69243694,5.386224214,17.06215882,4,5.106527395,33.52199353,0,20.4570005,13.8474744,0,89.98967487,0,5.749511833,0,22.7495451,5.749511833,0,5.106527395,0,13.8474744,11.12690298,99.31977239,0,10.77244843,69.67,0,0,29.40432164,4.776897593,0.105327906,24.75920202,0,3.954250847,0,1,0,0,0,0,4,0,0,0,0,2,2,4,1,0,0,0,0,1,1,0.357988255,150,1.075268817
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.611355258,1244.819933,20.2169677,16.24162148,16.24162148,14.11419354,9.321452001,9.321452001,6.811707186,6.811707186,4.706062137,4.706062137,3.053849182,3.053849182,0,5.106527395,0,5.749511833,11.37477255,33.27412396,0,6.066367068,86.64387922,20.4570005,0,380.1637113,0.620689655,1.344827586,2.172413793,0.083333333,-3.86,29,360.291,5055636.174,18.5008473,8.022491002,4.036974405,168.6449297,10.21941505,0.505593144,10.21941505,0.143255173,0.105327906,0.143255173,0.105327906,-0.505593144,7.99304,116.3228,380.451,1,5,0,0,0,4,4,5,1,5,4,142,5.106527395,11.43689811,0,0,0,0,0,15.34275038,5.114250126,48.53093655,60.69243694,5.386224214,17.06215882,4,5.106527395,33.52199353,0,20.4570005,13.8474744,0,89.98967487,0,5.749511833,0,22.7495451,5.749511833,0,5.106527395,0,13.8474744,11.12690298,99.31977239,0,10.77244843,69.67,0,0,29.40432164,4.776897593,0.105327906,24.75920202,0,3.954250847,0,1,0,0,0,0,4,0,0,0,0,2,2,4,1,0,0,0,0,1,1,0.357988255,190,1.096236559
